,Participant,X0,Y0,Xt,Yt,MT,strategy,block,Xf,A
0,15,-0.0018188222130176427,,,,0.56,1,3,136.38368602316288,150.0
1,15,-0.9403804069662924,,,,1.0799999999999998,1,3,137.11949939622608,150.0
2,15,0.03732299486435804,,,,0.41000000000000014,1,3,139.5758460126226,150.0
3,15,0.009248504685852792,,,,0.3899999999999997,1,3,150.07958842086063,150.0
4,15,-0.0011509972662416352,,,,0.5499999999999998,1,3,160.1746263824297,150.0
5,15,-0.06955437679595589,,,,0.6200000000000001,1,3,140.79700599373743,150.0
6,15,-0.0883046315262372,,,,0.5500000000000007,1,3,159.56870252154823,150.0
7,15,0.11332541509345755,,,,0.47000000000000064,1,3,141.39176805895363,150.0
8,15,0.12736063987643548,,,,0.5,1,3,149.6398939172101,150.0
9,15,0.03350905633350967,,,,0.7100000000000009,1,3,143.22059155431342,150.0
10,15,0.11875937206964626,,,,0.4299999999999997,1,3,138.50173389066762,150.0
11,15,0.39178230846744966,,,,0.5,1,3,151.9615167967198,150.0
12,15,0.2542802173848387,,,,0.4299999999999997,1,3,144.6582690496695,150.0
13,15,0.19337500419499015,,,,0.5599999999999987,1,3,143.87112036481892,150.0
14,15,0.17393746357647744,,,,0.4700000000000024,1,3,147.08519545368225,150.0
15,15,0.20796782352439433,,,,0.6099999999999994,1,3,152.64445207548187,150.0
16,15,-0.096141049173535,,,,1.33,5,2,149.75779068623044,150.0
17,15,0.05465274659525795,,,,1.2400000000000002,5,2,149.72687847504554,150.0
18,15,-0.4346350432545852,,,,1.7599999999999998,5,2,149.70050335919052,150.0
19,15,-0.1215212224653045,,,,1.7199999999999989,5,2,150.0068612665948,150.0
20,15,-0.09232503942951438,,,,1.370000000000001,5,2,149.71726126537374,150.0
21,15,-0.1940092364844019,,,,1.4399999999999977,5,2,150.17802652903362,150.0
22,15,-0.09874863792802478,,,,1.6600000000000001,5,2,149.7239561905797,150.0
23,15,-0.07604190742359516,,,,1.0700000000000003,5,2,149.80307274044372,150.0
24,15,-0.03727203202664137,,,,0.8200000000000003,5,2,149.27404905174137,150.0
25,15,-0.057979684127614894,,,,1.370000000000001,5,2,149.62949779397002,150.0
26,15,-0.045287282360942746,,,,1.6700000000000017,5,2,149.68638391857797,150.0
27,15,-0.07392431477623723,,,,1.75,5,2,149.6603483100738,150.0
28,15,-0.0423166278254823,,,,1.759999999999998,5,2,149.86350748781507,150.0
29,15,0.08471355508013975,,,,1.2000000000000028,5,2,149.69097500353024,150.0
30,15,-0.12692973322432632,,,,1.9200000000000017,5,2,149.64790320572766,150.0
31,15,-0.09373418509684023,,,,1.1600000000000037,5,2,149.65604589414548,150.0
32,15,-0.010606108866479615,,,,0.55,3,1,149.18056398972604,150.0
33,15,0.11690463493176238,,,,0.5800000000000001,3,1,149.17353610085888,150.0
34,15,0.14220343744497954,,,,1.0,3,1,148.06301494108848,150.0
35,15,-0.7787333237008207,,,,1.2400000000000002,3,1,151.30046270731881,150.0
36,15,0.12335385837257552,,,,0.7799999999999994,3,1,149.18868457961437,150.0
37,15,-0.007781972263489938,,,,0.7900000000000009,3,1,148.20771374561528,150.0
38,15,0.009584561159840216,,,,0.8600000000000012,3,1,154.0630932512464,150.0
39,15,0.06310266814558214,,,,0.7799999999999994,3,1,147.34653796373055,150.0
40,15,-0.04618913059153983,,,,0.46000000000000085,3,1,138.64160221289433,150.0
41,15,0.022898141162021268,,,,0.7199999999999989,3,1,148.99734519825967,150.0
42,15,-0.03241688959469678,,,,0.8900000000000006,3,1,151.1093609434099,150.0
43,15,-0.19236668246988947,,,,0.9199999999999982,3,1,138.85319171258635,150.0
44,15,0.017429486569455543,,,,0.8499999999999979,3,1,149.77315417413155,150.0
45,15,-0.007487007184769637,,,,0.5499999999999972,3,1,152.08270062850693,150.0
46,15,-0.077297414824582,,,,1.120000000000001,3,1,148.07602211887553,150.0
47,15,-0.025956657936865177,,,,0.480000000000004,3,1,157.41362120232185,150.0
48,15,0.07615644247379227,,,,0.43000000000000016,2,3,134.58244578239547,150.0
49,15,-0.060964794996860666,,,,0.79,2,3,151.5266654353418,150.0
50,15,-0.12780238543836786,,,,0.9499999999999993,2,3,148.50015039146444,150.0
51,15,0.12850723140394565,,,,0.5,2,3,141.18520050020948,150.0
52,15,-0.1024086929761911,,,,0.8599999999999994,2,3,148.03784532112707,150.0
53,15,-0.043904070601693955,,,,0.7200000000000006,2,3,150.2199770989081,150.0
54,15,-0.007345399928350744,,,,0.6100000000000012,2,3,148.03019460881293,150.0
55,15,0.13819031451236735,,,,0.7000000000000011,2,3,149.0207742814344,150.0
56,15,0.02967763312681796,,,,0.45000000000000107,2,3,141.85763993784053,150.0
57,15,0.2606288519456816,,,,0.5800000000000018,2,3,143.3110707279576,150.0
58,15,0.09393670066858084,,,,0.8300000000000018,2,3,150.5445839133529,150.0
59,15,0.1958846878446732,,,,0.8200000000000003,2,3,148.5306132117314,150.0
60,15,-0.0660469023087333,,,,0.6600000000000001,2,3,150.6823724046284,150.0
61,15,0.04713224761696482,,,,0.6999999999999993,2,3,148.68323763569452,150.0
62,15,0.11653022149099919,,,,0.46000000000000085,2,3,146.05629382434904,150.0
63,15,0.15684171327690855,,,,0.5500000000000007,2,3,154.85601253873466,150.0
64,15,-0.11937047276619242,,,,0.3800000000000001,1,4,143.6852929073072,150.0
65,15,0.004672695225846885,,,,0.33999999999999986,1,4,163.99849764269413,150.0
66,15,0.01672811301426334,,,,0.48999999999999977,1,4,170.63826384387056,150.0
67,15,0.006668178303079765,,,,0.3600000000000003,1,4,155.4023858303416,150.0
68,15,-0.04148336040250304,,,,0.33999999999999986,1,4,154.72165906238988,150.0
69,15,0.04514855093364241,,,,0.4399999999999995,1,4,137.71255219955071,150.0
70,15,0.022126396516565495,,,,0.46000000000000085,1,4,139.14343665039954,150.0
71,15,0.13917732764510254,,,,0.5099999999999998,1,4,133.05923185848505,150.0
72,15,-0.0039853937697315565,,,,0.3600000000000012,1,4,136.59674026777662,150.0
73,15,0.06655627831905894,,,,0.4800000000000004,1,4,147.41127327050228,150.0
74,15,-0.0044561433039276,,,,0.3899999999999988,1,4,140.91398368328294,150.0
75,15,0.04766683710809125,,,,0.370000000000001,1,4,156.3237434980604,150.0
76,15,0.10125494465631274,,,,0.41000000000000014,1,4,149.14954873014008,150.0
77,15,-0.04007776598215599,,,,0.4800000000000004,1,4,139.37910848628275,150.0
78,15,0.064785074808673,,,,0.3500000000000014,1,4,138.39902903169718,150.0
79,15,0.21385355886810148,,,,0.5199999999999996,1,4,152.5831250197583,150.0
80,15,0.10508649423523334,,,,0.3099999999999987,1,4,140.36586187880755,150.0
81,15,0.34460093809434056,,,,0.4299999999999997,1,4,149.79281183410822,150.0
82,15,0.1056423780971715,,,,0.41000000000000014,1,4,156.38273158116755,150.0
83,15,-0.021945876656152077,,,,0.6200000000000001,2,4,147.0450544875027,150.0
84,15,0.1770723962494501,,,,0.45999999999999996,2,4,149.8142347972099,150.0
85,15,-0.11513443465856961,,,,0.6600000000000006,2,4,151.01303384030675,150.0
86,15,0.018377086522319223,,,,0.5999999999999996,2,4,141.71985383412718,150.0
87,15,-0.04744957643498644,,,,0.47000000000000064,2,4,150.43402428014969,150.0
88,15,0.045985930750236326,,,,0.5300000000000011,2,4,148.62836160988735,150.0
89,15,-0.17201179746077502,,,,0.9499999999999993,2,4,149.0553220674563,150.0
90,15,0.10010787349563947,,,,0.7799999999999994,2,4,147.5207304745318,150.0
91,15,-0.1193006020078901,,,,0.629999999999999,2,4,151.67285205849993,150.0
92,15,0.04567198950820299,,,,0.5700000000000003,2,4,152.38739722765075,150.0
93,15,0.13800549614296087,,,,0.6699999999999999,2,4,148.59647008488645,150.0
94,15,-0.11117546374684001,,,,0.5,2,4,141.45420448587402,150.0
95,15,-0.01612583405549953,,,,0.7099999999999973,2,4,146.27000950443772,150.0
96,15,-0.021451088370403437,,,,0.5300000000000011,2,4,143.23472522019964,150.0
97,15,-0.018452084653612085,,,,0.5299999999999976,2,4,152.83191339778193,150.0
98,15,0.15596843391326431,,,,0.5999999999999979,2,4,149.32915356456118,150.0
99,15,0.021869964141136747,,,,0.8299999999999998,4,3,149.18480892011038,150.0
100,15,0.07676755438265818,,,,1.0800000000000005,4,3,149.46141856320423,150.0
101,15,-0.16862379110900175,,,,1.3500000000000005,4,3,149.93025144659316,150.0
102,15,-0.08084997655478149,,,,0.6200000000000001,4,3,150.33537780461032,150.0
103,15,0.031001561688542546,,,,1.0099999999999998,4,3,148.76733642144853,150.0
104,15,-0.001978088299162775,,,,0.7400000000000002,4,3,150.30964306811734,150.0
105,15,0.08376718700437764,,,,0.5499999999999989,4,3,152.1296693429091,150.0
106,15,0.04382988012570513,,,,0.5599999999999987,4,3,146.20217650284053,150.0
107,15,0.10375471227742003,,,,0.6400000000000006,4,3,149.85678530731104,150.0
108,15,0.018151900861707697,,,,0.5800000000000018,4,3,153.77901908002482,150.0
109,15,0.10393945109120628,,,,0.8699999999999974,4,3,150.34293307807022,150.0
110,15,-0.11072630485473077,,,,0.6199999999999974,4,3,145.2195005361088,150.0
111,15,0.06004746100637365,,,,0.9299999999999997,4,3,149.86109926610433,150.0
112,15,-0.07256236695164511,,,,0.4800000000000004,4,3,139.47876635975393,150.0
113,15,0.17161219804737537,,,,0.620000000000001,4,3,149.84213933118508,150.0
114,15,0.0542249416605201,,,,0.5,4,3,141.72344795402987,150.0
115,15,-0.4202007385718769,,,,0.98,1,2,131.15681781425286,150.0
116,15,0.036709924028464104,,,,0.5899999999999999,1,2,147.34738942235415,150.0
117,15,-0.041413989649852635,,,,0.33999999999999986,1,2,157.9072494132979,150.0
118,15,-0.24916824609112104,,,,0.6400000000000006,1,2,154.62800859644068,150.0
119,15,0.15180982993063374,,,,0.41000000000000014,1,2,140.51556058939758,150.0
120,15,0.09431232360927722,,,,0.45999999999999996,1,2,165.13493276165775,150.0
121,15,0.27027906958916753,,,,0.33000000000000007,1,2,155.67597483060237,150.0
122,15,0.13945103481062474,,,,0.5199999999999996,1,2,142.59013951657957,150.0
123,15,0.05848833576967599,,,,0.3699999999999992,1,2,150.3991209684927,150.0
124,15,0.41900038999021966,,,,0.5499999999999989,1,2,147.88678797169663,150.0
125,15,0.21702916188379046,,,,0.379999999999999,1,2,146.2671771023454,150.0
126,15,0.12452772379118907,,,,0.48999999999999844,1,2,146.47723397280618,150.0
127,15,0.13101549026359466,,,,0.46000000000000085,1,2,142.6304154221994,150.0
128,15,0.0301576789072299,,,,0.509999999999998,1,2,152.80455220523294,150.0
129,15,0.1370799413496629,,,,0.46000000000000085,1,2,148.06052242929727,150.0
130,15,0.22950442127753362,,,,0.4700000000000024,1,2,154.00023516962216,150.0
131,15,0.10970960965540524,,,,1.29,4,1,149.32081298152823,150.0
132,15,0.09060954287257154,,,,1.4300000000000002,4,1,149.42182724329584,150.0
133,15,0.13716591791756833,,,,0.5300000000000002,4,1,132.33743934315555,150.0
134,15,-0.049623662496254314,,,,1.2699999999999996,4,1,148.63386928528905,150.0
135,15,-0.031297384538856506,,,,0.9299999999999997,4,1,150.80574788683643,150.0
136,15,-0.07375558441218412,,,,1.17,4,1,148.63601174882496,150.0
137,15,0.14940923592020405,,,,1.0300000000000011,4,1,149.19599766222433,150.0
138,15,-0.11277616438625372,,,,1.1000000000000014,4,1,150.1532768290034,150.0
139,15,0.11490763875066791,,,,0.5399999999999991,4,1,139.59179010700979,150.0
140,15,-0.013157991154147407,,,,1.1000000000000014,4,1,149.76900961396305,150.0
141,15,0.0242207776040121,,,,1.0899999999999999,4,1,151.30528974289103,150.0
142,15,0.05998447591178001,,,,1.0100000000000016,4,1,150.32748785041076,150.0
143,15,-0.16709552179927145,,,,0.629999999999999,4,1,146.71695131258724,150.0
144,15,0.01669386789762632,,,,0.8900000000000006,4,1,149.96192839029683,150.0
145,15,-0.07642813227573508,,,,0.5200000000000031,4,1,136.48336281420046,150.0
146,15,-0.0748706674561708,,,,0.9600000000000009,4,1,150.25968806051054,150.0
147,15,-0.05862495317028865,,,,0.74,1,5,146.2700587881749,150.0
148,15,0.07766074900058083,,,,0.38000000000000034,1,5,163.6098194311735,150.0
149,15,-0.09101672955351683,,,,0.6499999999999999,1,5,149.609814684941,150.0
150,15,0.03336136847270346,,,,0.47000000000000064,1,5,151.86941516449488,150.0
151,15,0.07299150013010766,,,,0.5200000000000005,1,5,140.1075026169182,150.0
152,15,0.06736513326988637,,,,0.47000000000000064,1,5,154.2193891799579,150.0
153,15,0.057395575312637094,,,,0.39000000000000057,1,5,146.9349789733776,150.0
154,15,0.11992658122215447,,,,0.41999999999999993,1,5,148.83300760501334,150.0
155,15,0.03155201373824026,,,,0.41999999999999993,1,5,149.46787678242998,150.0
156,15,0.07674370118330869,,,,0.45000000000000107,1,5,149.7023566935503,150.0
157,15,0.14558073874792468,,,,0.40999999999999837,1,5,147.2696174846538,150.0
158,15,-0.010528685530553129,,,,0.47000000000000064,1,5,149.55155308660662,150.0
