Experiment parameters :;;;;;;;;;;;;;;;;;;;;;PARAMETRES;;;;
Instruction;Be as precise as possible;;;;;;;;;;;;;;;;;;;;tablet offset;;;;dots
Block number;4;;;;;;;;;;;;;;;;;;;;tablet target;;;;dots
D screen value (in mm);150;;;;;;;;;;;;;;;;;;;;screen offset;;;;pixels
D screen value (in pixels);564.705882;;;;;;;;;;;;;;;;;;;;screen target;;;;pixels
DC Gain;1;;;;;;;;;;;;;;;;;;;;;;;;
Duration (in s);0;;;;;;;;;;;;;;;;;;;;;;;;
Screen offset (in mm);95;;;;;;;;;;;;;;;;;;;;;;;;
Tablet offset (in mm);39;;;;;;;;;;;;;;;;;;;;;;;;
Tablet start line (in dots);3859;;;;;;;;;;;;;;;;;;;;;;;;
Tablet target line (in dots);18703;;;;;;;;;;;;;;;;;;;;;;;;
Screen start line (pixels);357;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm);;;;;;
2.36528889;3995;14393;1;393;96;90;14;14;0;0;0;16;8;0;2;0;64;5.80253204;1.369423;;;;;;
2.37327989;3951;14389;0;464;96;90;13;14;0;0;0;16;8;0;2;0;64;4.12867068;0.924803;;;;;;
2.38528889;3912;14386;0;487;95;90;1;14;0;0;0;16;8;0;2;0;64;2.64502084;0.530709;;;;;;
2.39328089;3872;14391;0;518;95;89;14;14;0;0;0;16;8;1;0;0;64;1.1233287;0.126509;;;;;;
2.40528989;3846;14399;0;655;95;89;12;14;0;0;0;16;8;1;0;0;64;0.13422881;-0.13622;;;;;;
2.41328789;3845;14396;0;706;95;89;3;14;0;0;0;16;8;1;0;0;64;0.09618651;-0.146325;;;;;;
2.42528589;3844;14398;0;725;94;89;3;14;0;0;0;16;8;1;0;0;64;0.0581442;-0.15643;;;;;;
2.43329089;3847;14400;0;777;94;89;3;14;0;0;0;16;8;1;0;0;64;0.17227111;-0.126115;;;;;;
2.44529189;3847;14401;0;820;94;88;14;14;0;0;0;16;8;0;0;0;64;0.17227111;-0.126115;;;;;;
2.45328589;3844;14401;0;854;94;88;2;14;0;0;0;16;8;0;0;0;64;0.0581442;-0.15643;;;;;;
2.46529089;3859;14396;0;885;94;88;0;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856;;;;;;
2.47328589;3857;14394;0;882;94;88;0;14;0;0;0;16;8;0;0;0;64;0.55269415;-0.025066;;;;;;
2.48529189;3852;14399;0;887;94;88;2;14;0;0;0;16;8;0;0;0;64;0.36248263;-0.075591;;;;;;
2.49328789;3856;14406;0;871;94;88;0;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171;;;;;;
2.50529089;3855;14404;0;878;94;87;3;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276;;;;;;
2.51329189;3854;14403;0;886;94;87;2;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381;;;;;;
2.52528389;3859;14404;0;877;94;87;1;14;0;0;4;16;0;1;2;0;64;0.62877876;-0.004856;;;;;;
2.53329189;3864;14412;0;899;94;86;0;14;0;0;4;16;0;0;2;0;64;0.81899027;0.045669;;;;;;
2.54529489;3862;14406;0;904;94;86;1;14;0;0;4;16;0;0;2;0;64;0.74290567;0.025459;;;;;;
2.55328789;3860;14407;0;906;94;86;2;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249;;;;;;
2.56529189;3865;14412;0;914;94;85;3;14;0;0;4;16;0;1;0;0;64;0.85703258;0.055774;;;;;;
2.57328589;3862;14406;0;929;94;85;2;14;0;0;4;16;0;1;0;0;64;0.74290567;0.025459;;;;;;
2.58529289;3859;14408;0;951;94;85;2;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856;;;;;;
2.59328889;3863;14409;0;972;94;85;3;14;0;0;4;16;0;1;0;0;64;0.78094797;0.035564;;;;;;
2.60529289;3859;14404;0;983;94;85;1;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856;;;;;;
2.61329189;3859;14401;0;988;94;85;3;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856;;;;;;
2.62528689;3862;14402;0;991;94;86;0;14;0;0;4;16;0;0;2;0;64;0.74290567;0.025459;;;;;;
2.63329289;3859;14399;0;993;94;86;13;14;0;0;4;16;0;0;2;0;64;0.62877876;-0.004856;;;;;;
2.64529589;3860;14398;0;993;94;86;13;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249;;;;;;
2.65328689;3860;14400;0;996;94;86;14;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249;;;;;;
2.66529289;3861;14399;0;999;94;86;15;14;0;0;4;16;0;0;2;0;64;0.70486336;0.015354;;;;;;
2.67328689;3858;14397;0;1000;94;86;12;14;0;0;4;16;0;0;2;0;64;0.59073645;-0.014961;;;;;;
2.68529189;3857;14399;0;1001;94;87;2;14;0;0;4;16;0;1;2;0;64;0.55269415;-0.025066;;;;;;
2.69328889;3861;14400;0;1002;94;87;0;14;0;0;4;16;0;1;2;0;64;0.70486336;0.015354;;;;;;
2.70529289;3859;14394;0;1004;94;87;1;14;0;0;4;16;0;1;2;0;64;0.62877876;-0.004856;;;;;;
2.71329289;3859;14400;0;1005;94;87;2;14;0;0;4;16;0;1;2;0;64;0.62877876;-0.004856;;;;;;
