Experiment parameters :;;;;;;;;;;;;;;;;;;;;;;;
Instruction;5. Full accuracy;;;;;;;;;;;;;;;;;;dot size = ;0.01011;;;
Block number;5;;;;;;;;;;;;;;;;;;;D S et T  positions relative par rapport à la ligne de départ;;;
D screen value (in mm);150;;;;;;;;;;;;;;;;;;;;;;39.000
D screen value (in pixels);564.705882;;;;;;;;;;;;;;;;;;;;min;;
DC Gain;1;;;;;;;;;;;;;;;;;;;;3821;;
Duration (in s);0;;;;;;;;;;;;;;;;;;;;max;;
Screen offset (in mm);95;;;;;;;;;;;;;;;;;;;;3868;;
Tablet offset (in mm);39;;;;;;;;;;;;;;;;;;;;moy;;
Tablet start line (in dots);3859;;;;;;;;;;;;;;;;;;;;3855.5;;
Tablet target line (in dots);18703;;;;;;;;;;;;;;;;;;;La correction reste à faire;;;
Screen start line (pixels);357;;;;;;;;;;;;;;;;;;;Nouvelle colonne;;;
;;;;;;;;;;;;;;;;;;;;faire la troncature de col S;X tablet in dots;;
Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm);x screen pixel;si x screen px = 0;;
1.94186798;3878;14201;0;851;84;88;0;14;0;0;0;16;8;0;0;0;64;1.35158252;0.187139;1;;;
1.94588998;3879;14203;0;851;84;88;0;14;0;0;0;16;8;0;0;0;64;1.38962483;0.197244;1;;;
1.96186598;3878;14203;0;852;84;88;1;14;0;0;0;16;8;0;0;0;64;1.35158252;0.187139;1;;;
1.96589698;3878;14203;0;853;84;88;0;14;0;0;0;16;8;0;0;0;64;1.35158252;0.187139;1;;;
1.98186798;3875;14201;0;853;84;88;1;14;0;0;0;16;8;0;0;0;64;1.23745561;0.156824;1;;;
1.98589198;3876;14204;0;854;84;88;3;14;0;0;0;16;8;0;0;0;64;1.27549792;0.166929;1;;;
2.00186698;3877;14205;0;855;84;88;1;14;0;0;0;16;8;0;0;0;64;1.31354022;0.177034;1;;;
2.00589098;3876;14203;0;855;84;88;0;14;0;0;0;16;8;0;0;0;64;1.27549792;0.166929;1;;;
2.02186698;3874;14203;0;855;84;88;1;14;0;0;0;16;8;0;0;0;64;1.19941331;0.146719;1;;;
2.02589398;3879;14206;0;855;84;88;3;14;0;0;0;16;8;0;0;0;64;1.38962483;0.197244;1;;;
2.04186698;3873;14200;0;854;84;88;3;14;0;0;0;16;8;0;0;0;64;1.16137101;0.136614;1;;;
2.04589298;3878;14204;0;854;84;88;0;14;0;0;0;16;8;0;0;0;64;1.35158252;0.187139;1;;;
2.06186598;3878;14203;0;854;84;88;2;14;0;0;0;16;8;0;0;0;64;1.35158252;0.187139;1;;;
2.06589798;3876;14201;0;857;84;88;1;14;0;0;0;16;8;0;0;0;64;1.27549792;0.166929;1;;;
2.08194498;3873;14202;0;858;84;88;0;14;0;0;0;16;8;0;0;0;64;1.16137101;0.136614;1;;;
2.08589298;3877;14204;0;861;84;88;3;14;0;0;0;16;8;0;0;0;64;1.31354022;0.177034;1;;;
2.10186798;3874;14202;0;863;84;88;0;14;0;0;0;16;8;0;0;0;64;1.19941331;0.146719;1;;;
2.10589198;3871;14201;0;865;84;88;3;14;0;0;0;16;8;0;0;0;64;1.0852864;0.116404;1;;;
2.12186798;3872;14205;0;871;85;88;0;14;0;0;0;16;8;0;0;0;64;1.1233287;0.126509;1;;;
2.12589198;3869;14201;0;876;85;88;3;14;0;0;0;16;8;0;0;0;64;1.00920179;0.096194;1;;;
2.14186798;3867;14200;0;883;85;88;0;14;0;0;0;16;8;0;0;0;64;0.93311718;0.075984;0;3867;;
2.14589198;3868;14204;0;888;85;88;1;14;0;0;0;16;8;0;0;0;64;0.97115949;0.086089;0;3868;;
2.16187098;3868;14202;0;895;85;88;0;14;0;0;0;16;8;0;0;0;64;0.97115949;0.086089;0;3868;;
2.18186598;3870;14205;0;893;85;88;15;14;0;0;0;16;8;0;0;0;64;1.04724409;0.106299;1;;;
2.18589698;3872;14203;0;886;85;88;14;14;0;0;0;16;8;0;0;0;64;1.1233287;0.126509;1;;;
2.20186898;3870;14203;0;885;85;88;3;14;0;0;0;16;8;0;0;0;64;1.04724409;0.106299;1;;;
2.20589398;3875;14206;0;885;85;88;1;14;0;0;0;16;8;0;0;0;64;1.23745561;0.156824;1;;;
2.22186798;3876;14205;0;885;85;88;1;14;0;0;0;16;8;0;0;0;64;1.27549792;0.166929;1;;;
2.22589298;3875;14206;0;885;85;87;1;14;0;0;4;16;0;1;2;0;64;1.23745561;0.156824;1;;;
2.24186898;3877;14207;0;886;85;87;0;14;0;0;4;16;0;1;2;0;64;1.31354022;0.177034;1;;;
2.24589298;3879;14208;0;888;85;87;1;14;0;0;4;16;0;1;2;0;64;1.38962483;0.197244;1;;;
2.26187098;3880;14208;0;890;84;87;0;14;0;0;4;16;0;1;2;0;64;1.42766713;0.207349;1;;;
2.28186598;3880;14208;0;890;84;87;2;14;0;0;4;16;0;1;2;0;64;1.42766713;0.207349;1;;;
2.28589598;3880;14204;0;890;84;87;2;14;0;0;4;16;0;1;2;0;64;1.42766713;0.207349;1;;;
2.30186898;3879;14206;0;892;83;87;0;14;0;0;4;16;0;1;2;0;64;1.38962483;0.197244;1;;;
2.30589398;3882;14206;0;895;83;87;2;14;0;0;4;16;0;1;2;0;64;1.50375174;0.227559;1;;;
2.32186898;3879;14204;0;901;83;87;13;14;0;0;4;16;0;1;2;0;64;1.38962483;0.197244;1;;;
2.32589298;3878;14205;0;902;83;87;1;14;0;0;4;16;0;1;2;0;64;1.35158252;0.187139;1;;;
2.34186898;3878;14208;0;905;83;87;3;14;0;0;4;16;0;1;2;0;64;1.35158252;0.187139;1;;;
2.34589298;3872;14202;0;905;83;87;0;14;0;0;4;16;0;1;2;0;64;1.1233287;0.126509;1;;;
2.36186898;3871;14205;0;905;84;87;2;14;0;0;4;16;0;1;2;0;64;1.0852864;0.116404;1;;;
2.36589398;3874;14205;0;906;84;87;1;14;0;0;4;16;0;1;2;0;64;1.19941331;0.146719;1;;;
2.38186698;3869;14205;0;906;84;87;2;14;0;0;4;16;0;1;2;0;64;1.00920179;0.096194;1;;;
2.38590098;3870;14205;0;905;85;87;0;14;0;0;4;16;0;1;2;0;64;1.04724409;0.106299;1;;;
2.40194498;3869;14206;0;905;85;87;0;14;0;0;4;16;0;1;2;0;64;1.00920179;0.096194;1;;;
2.40589598;3866;14203;0;906;85;88;2;14;0;0;0;16;8;0;0;0;64;0.89507488;0.065879;0;3866;;
2.42187098;3865;14203;0;905;85;88;3;14;0;0;0;16;8;0;0;0;64;0.85703258;0.055774;0;3865;;
2.42589398;3867;14206;0;905;85;88;1;14;0;0;0;16;8;0;0;0;64;0.93311718;0.075984;0;3867;;
2.44186998;3867;14204;0;904;86;88;1;14;0;0;0;16;8;0;0;0;64;0.93311718;0.075984;0;3867;;
2.44589498;3864;14201;0;903;86;88;2;14;0;0;0;16;8;0;0;0;64;0.81899027;0.045669;0;3864;;
2.46186998;3867;14206;0;901;86;88;0;14;0;0;0;16;8;0;0;0;64;0.93311718;0.075984;0;3867;;
2.46589498;3866;14203;0;899;86;88;1;14;0;0;0;16;8;0;0;0;64;0.89507488;0.065879;0;3866;;
2.48186798;3863;14203;0;899;86;88;3;14;0;0;0;16;8;0;0;0;64;0.78094797;0.035564;0;3863;;
2.48590098;3864;14206;0;900;86;88;2;14;0;0;0;16;8;0;0;0;64;0.81899027;0.045669;0;3864;;
2.50205798;3863;14206;0;901;86;88;2;14;0;0;0;16;8;0;0;0;64;0.78094797;0.035564;0;3863;;
2.50589898;3862;14203;0;902;86;87;0;14;0;0;4;16;0;1;2;0;64;0.74290567;0.025459;0;3862;;
2.52186998;3859;14207;0;903;86;87;2;14;0;0;4;16;0;1;2;0;64;0.62877876;-0.004856;0;3859;;
2.52589598;3858;14205;0;904;86;87;15;14;0;0;4;16;0;1;2;0;64;0.59073645;-0.014961;0;3858;;
2.54186998;3856;14205;0;904;86;87;2;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171;0;3856;;
2.54589498;3856;14206;0;904;86;87;1;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171;0;3856;;
2.56186998;3856;14206;0;904;86;87;0;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171;0;3856;;
2.56589598;3855;14202;0;904;86;87;1;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276;0;3855;;
2.58186898;3853;14205;0;904;86;87;2;14;0;0;4;16;0;1;2;0;64;0.40052493;-0.065486;0;3853;;
2.58589198;3854;14206;0;904;87;87;0;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381;0;3854;;
2.60186898;3850;14205;0;903;87;87;2;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801;0;3850;;
2.60589898;3851;14205;0;904;87;87;1;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696;0;3851;;
2.62187198;3850;14205;0;903;87;87;3;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801;0;3850;;
2.62589598;3848;14202;0;903;87;87;1;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.64187098;3847;14205;0;902;87;87;2;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.64589498;3849;14208;0;901;88;87;2;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
2.66187098;3846;14204;0;900;88;87;3;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
2.66589698;3846;14206;0;900;88;87;2;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
2.68186898;3847;14210;0;899;88;87;2;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.68589798;3846;14204;0;898;88;87;3;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
2.70186898;3844;14206;0;897;88;87;1;14;0;0;4;16;0;1;2;0;64;0.0581442;-0.15643;0;3844;;
2.70589998;3848;14210;0;896;88;87;3;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.72187598;3845;14206;0;896;88;87;15;14;0;0;4;16;0;1;2;0;64;0.09618651;-0.146325;0;3845;;
2.72589598;3846;14205;0;896;88;87;3;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
2.74187298;3850;14208;0;895;88;87;1;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801;0;3850;;
2.74589598;3848;14209;0;894;88;87;12;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.76187198;3848;14207;0;894;88;87;3;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.76589598;3848;14210;0;893;88;87;2;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.78187198;3849;14209;0;893;88;87;1;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
2.78589698;3848;14208;0;893;88;87;3;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.80186998;3849;14209;0;893;88;87;3;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
2.80590098;3849;14210;0;893;88;87;1;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
2.82187598;3850;14209;0;893;88;87;0;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801;0;3850;;
2.82589798;3848;14209;0;894;88;87;1;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.84187198;3849;14210;0;895;88;87;2;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
2.84589698;3847;14206;0;896;88;87;2;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.86187198;3846;14208;0;897;88;87;3;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
2.86589798;3848;14208;0;897;88;87;1;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.88187198;3848;14206;0;897;88;87;0;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.88589698;3847;14208;0;897;88;87;3;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.90186998;3848;14210;0;897;88;87;3;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.90590098;3846;14207;0;896;88;87;3;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
2.92187598;3847;14206;0;896;88;87;1;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.92589698;3848;14209;0;896;88;87;1;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.94187298;3847;14208;0;896;88;87;0;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.94589798;3847;14207;0;896;88;87;2;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.96187498;3848;14209;0;896;88;87;3;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
2.96589898;3847;14206;0;896;88;87;13;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.98187298;3847;14207;0;896;88;87;1;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
2.98589898;3846;14209;0;896;88;87;3;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
2.99390498;3847;14208;0;896;88;87;13;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
3.01387398;3846;14207;0;897;88;87;1;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
3.01789898;3851;14210;0;896;88;87;0;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696;0;3851;;
3.03387098;3849;14208;0;897;88;87;14;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.03789398;3848;14209;0;897;88;87;2;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
3.05387198;3846;14210;0;897;88;87;15;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
3.05790198;3849;14210;0;897;88;87;0;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.07387398;3848;14207;0;897;88;87;1;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
3.07789698;3849;14211;0;897;88;87;3;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.09387298;3849;14210;0;897;88;87;3;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.09789798;3849;14209;0;896;88;87;1;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.11387298;3847;14210;0;897;88;87;1;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
3.11789798;3850;14212;0;897;88;87;1;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801;0;3850;;
3.13387298;3847;14209;0;897;88;87;0;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115;0;3847;;
3.13789898;3849;14210;0;897;88;87;3;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.15387198;3848;14212;0;897;88;87;3;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.11601;0;3848;;
3.15790598;3849;14209;0;898;88;87;1;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.17402198;3849;14208;0;898;88;87;0;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906;0;3849;;
3.17790098;3851;14211;0;900;88;87;1;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696;0;3851;;
3.19387498;3846;14207;0;902;88;87;2;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.13622;0;3846;;
3.19789898;3845;14210;0;902;88;87;1;14;0;0;4;16;0;1;2;0;64;0.09618651;-0.146325;0;3845;;
3.21387498;3844;14210;0;901;88;87;3;14;0;0;4;16;0;1;2;0;64;0.0581442;-0.15643;0;3844;;
3.21789898;3842;14210;0;899;88;86;3;14;0;0;4;16;0;0;2;0;64;-0.0179404;-0.17664;0;3842;;
