t,participant,variable,variation,task,trial,globaltrial,ID,distance,width,targetleft,targetright,timestamp,mousex,mousey,cursorx,button,trialsuccess, pause, experimenterattention,fitts2prep,fitts2wait,trialstarts,trialtime,time,glfwtime,dx,y,target,widthm,distancem,sgy,sgv,sga,meansurgeerror,meansurgepcttime,meanreactiontime,mediansurgeerror,mediansurgepcttime
1970-01-01 00:08:31.790,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.7896148,8111.0,-38389.0,620.6020081,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.2987715759,0.0,511.4310807,-0.4335909,-0.0939283942583,0.105856875,0.07057125,0.21171375,-0.0935150367067,-0.191849710849,11.5421015705,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.792,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.7907908,8101.0,-38391.0,620.2684766,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00199999999995,511.4322607,-0.3335315,-0.0940206991009,0.105856875,0.07057125,0.21171375,-0.0938263568437,-0.169691904695,11.2776487396,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.794,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.7937937,8081.0,-38393.0,619.6014137,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00399999999996,511.4353035,-0.1667657,-0.0942053087585,0.105856875,0.07057125,0.21171375,-0.0940950560024,-0.148011351837,11.0105452511,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.796,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.7958672,8074.0,-38394.0,619.3679417,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00599999999997,511.4373328,-0.0667063,-0.0942699221345,0.105856875,0.07057125,0.21171375,-0.0943177034227,-0.126663578482,10.7297440293,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.798,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.796549,8072.0,-38394.0,619.3012354,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00799999999998,511.4380589,-0.0667063000002,-0.0942883831031,0.105856875,0.07057125,0.21171375,-0.0945037033815,-0.105273484699,10.4601276935,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.800,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.7988892,8071.0,-38395.0,619.2678822,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00999999999999,511.4403588,-0.0333531999999,-0.0942976136011,0.105856875,0.07057125,0.21171375,-0.0946380359975,-0.0848625254872,10.1585886061,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.802,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.8018311,8072.0,-38395.0,619.3012354,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.012,511.4432987,0.0333531999999,-0.0942883831031,0.105856875,0.07057125,0.21171375,-0.0947297258514,-0.0648152710712,9.84748234733,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.804,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.803948,8075.0,-38395.0,619.4012948,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.014,511.4454156,0.0667063,-0.0942606916641,0.105856875,0.07057125,0.21171375,-0.0947790072616,-0.0451504189757,9.52584291746,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.806,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.8056788,8079.0,-38394.0,619.5347074,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.016,511.4471443,0.0667063,-0.094223769727,0.105856875,0.07057125,0.21171375,-0.094791523099,-0.0260316245048,9.2072955197,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
1970-01-01 00:08:31.808,1.0,0.0,-1.0,0.0,21.0,633.0,2.0,765,255,0.07057125,0.1411425,511.807499,8085.0,-38393.0,619.7348263,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.018,511.4489669,0.1000594,-0.0941683868215,0.105856875,0.07057125,0.21171375,-0.0947643386154,-0.00730757812212,8.88187985375,1.001043769,1.0,0.0460243902439,0.996823043987,1.0
